,color_code
0,"(0, 255, 255)"
1,"(0, 255, 255)"
4,"(0, 40, 255)"
5,"(0, 0, 40)"
6,"(0, 255, 45)"
7,"(0, 255, 23)"
8,"(0, 255, 57)"
11,"(0, 255, 38)"
10,"(0, 255, 57)"
9,"(0, 255, 24)"
14,"(0, 255, 45)"
12,"(0, 255, 23)"
13,"(0, 255, 57)"
15,"(0, 255, 24)"
17,"(0, 0, 255)"
19,"(0, 255, 255)"
22,"(0, 255, 255)"
21,"(0, 40, 255)"
20,"(0, 0, 40)"
33,"(0, 0, 0)"
23,"(0, 255, 45)"
24,"(0, 255, 23)"
25,"(0, 255, 57)"
26,"(0, 255, 24)"
27,"(0, 0, 0)"
28,"(0, 255, 45)"
30,"(0, 255, 23)"
29,"(0, 255, 57)"
31,"(0, 255, 24)"
34,"(0, 0, 255)"
35,"(0, 255, 255)"
36,"(0, 255, 255)"
37,"(0, 40, 255)"
38,"(0, 0, 40)"
39,"(0, 0, 0)"
40,"(0, 255, 45)"
42,"(0, 255, 23)"
41,"(0, 255, 57)"
44,"(0, 255, 24)"
43,"(0, 0, 0)"
47,"(0, 0, 57)"
45,"(0, 0, 0)"
51,"(0, 0, 57)"
48,"(0, 0, 255)"
50,"(0, 255, 255)"
54,"(0, 255, 255)"
53,"(0, 40, 255)"
57,"(0, 0, 40)"
56,"(0, 0, 0)"
58,"(0, 255, 45)"
55,"(0, 255, 23)"
59,"(0, 255, 57)"
60,"(0, 255, 24)"
61,"(0, 0, 255)"
62,"(0, 255, 255)"
64,"(0, 255, 255)"
66,"(0, 40, 255)"
65,"(0, 0, 40)"
67,"(0, 0, 0)"
68,"(0, 255, 45)"
69,"(0, 255, 23)"
72,"(0, 255, 57)"
71,"(0, 255, 24)"
75,"(0, 0, 0)"
73,"(0, 0, 57)"
74,"(0, 0, 0)"
76,"(0, 0, 57)"
77,"(0, 0, 57)"
